"Registration_Date"	"Brand_Name"	"Model_Name"	"Province_Registration"
20221229	"Jeep"	"Renegade"	"HUESCA"
20210105	"Ford"	"Ranger"	"HUESCA"
20221222	"Ford"	"Ranger"	"HUESCA"
20231020	"Mazda"	"Mazda 3"	"HUESCA"
20210518	"Mazda"	"CX5"	"HUESCA"
20210720	"Jeep"	"Grand Cherokee"	"HUESCA"
20210420	"Suzuki"	"Jimny Pro"	"HUESCA"
20220401	"Mazda"	"CX3"	"HUESCA"
20220721	"Ford"	"Ranger"	"HUESCA"
20221227	"Subaru"	"Forester"	"HUESCA"
20210226	"Nissan"	"X-Trail"	"HUESCA"
20220113	"Mazda"	"CX30"	"HUESCA"
20230421	"Mazda"	"CX7"	"HUESCA"
20210208	"Toyota"	"Land Cruiser"	"HUESCA"
20210226	"Toyota"	"RAV 4"	"HUESCA"
20221221	"Hyundai"	"Kona"	"HUESCA"
20220914	"Toyota"	"Aygo X"	"HUESCA"
20231219	"Kia"	"EV9"	"HUESCA"
20230718	"Kia"	"Stonic"	"HUESCA"
20211117	"Kia"	"Stonic"	"HUESCA"
20221104	"Toyota"	"RAV 4"	"HUESCA"
20220408	"Kia"	"Niro"	"HUESCA"
20210625	"Kia"	"Niro"	"HUESCA"
20230926	"Mazda"	"Mazda 6"	"HUESCA"
20231130	"MG"	"HS"	"HUESCA"
20230728	"Tesla"	"Model 3"	"HUESCA"
20210721	"Hyundai"	"Kona"	"HUESCA"
20231220	"Ssangyong"	"Musso"	"HUESCA"
20231201	"Toyota"	"Yaris Cross"	"HUESCA"
20221130	"Mazda"	"CX5"	"HUESCA"
20230822	"Suzuki"	"Ignis"	"HUESCA"
20230929	"Kia"	"Picanto"	"HUESCA"
20221130	"Land Rover"	"Defender"	"HUESCA"
20211230	"Nissan"	"Juke"	"HUESCA"
20220114	"Mitsubishi"	"L 200"	"HUESCA"
20230717	"Kia"	"Sorento"	"HUESCA"
20211115	"Hyundai"	"I20"	"HUESCA"
20231006	"Ssangyong"	"Rexton"	"HUESCA"
20230130	"Land Rover"	"Range Rover Evoque"	"HUESCA"
20220726	"Hyundai"	"Tucson"	"HUESCA"
20210817	"Nissan"	"Qashqai"	"HUESCA"
20230131	"Toyota"	"C-HR"	"HUESCA"
20220524	"Hyundai"	"Tucson"	"HUESCA"
20231003	"MG"	"ZS"	"HUESCA"
20230227	"Skoda"	"Octavia"	"HUESCA"
20220919	"Dacia"	"Sandero"	"HUESCA"
20211129	"Hyundai"	"Tucson"	"HUESCA"
20231218	"Land Rover"	"Range Rover Evoque"	"HUESCA"
20220614	"Skoda"	"Superb"	"HUESCA"
20220427	"Dacia"	"Sandero"	"HUESCA"
20230602	"Dacia"	"Sandero"	"HUESCA"
20221230	"Dacia"	"Jogger"	"HUESCA"
20230329	"Dacia"	"Sandero"	"HUESCA"
20231003	"Hyundai"	"Tucson"	"HUESCA"
20221228	"Skoda"	"Octavia"	"HUESCA"
20230126	"Skoda"	"Kodiaq"	"HUESCA"
20220221	"Skoda"	"Kamiq"	"HUESCA"
20210129	"Hyundai"	"Tucson"	"HUESCA"
20211129	"Kia"	"XCeed"	"HUESCA"
20210728	"Kia"	"XCeed"	"HUESCA"
20210823	"Dacia"	"Sandero"	"HUESCA"
20210712	"Suzuki"	"Sx4 S-Cross"	"HUESCA"
20231005	"Nissan"	"Juke"	"HUESCA"
20230627	"Kia"	"Sportage"	"HUESCA"
20210413	"Dacia"	"Sandero"	"HUESCA"
20211130	"Dacia"	"Sandero"	"HUESCA"
20231228	"Renault"	"Trafic"	"HUESCA"
20210531	"Renault"	"Trafic"	"HUESCA"
20230131	"Dacia"	"Sandero"	"HUESCA"
20230425	"Dacia"	"Sandero"	"HUESCA"
20210427	"Renault"	"Twingo"	"HUESCA"
20210507	"Dacia"	"Duster"	"HUESCA"
20211214	"Dacia"	"Duster"	"HUESCA"
20210415	"Dacia"	"Duster"	"HUESCA"
20231011	"Dacia"	"Duster"	"HUESCA"
20210625	"Toyota"	"Corolla"	"HUESCA"
20210105	"Toyota"	"Corolla"	"HUESCA"
20230531	"Kia"	"Ceed"	"HUESCA"
20220504	"Kia"	"Ceed"	"HUESCA"
20231130	"Renault"	"Trafic"	"HUESCA"
20210730	"Renault"	"Kadjar"	"HUESCA"
20210831	"Renault"	"Megane"	"HUESCA"
20210112	"Renault"	"Captur"	"HUESCA"
20211222	"Kia"	"Ceed"	"HUESCA"
20230519	"Dacia"	"Duster"	"HUESCA"
20231222	"Dacia"	"Duster"	"HUESCA"
20210427	"Renault"	"Megane"	"HUESCA"
20230518	"Renault"	"Austral"	"HUESCA"
20231013	"Renault"	"Austral"	"HUESCA"
